Duration,ResponseId,Policy_politics,Policy_complexity,Emotion,Video_DO,Policy_DO,Importance,New_legislation,Vote_policy,Good_solution,Reasonable_cost,Politically_possible,Reduce_problem,Solve_problem,Morally_justifiable,Policy_pleased,Interested,Distressed,Afraid,Guilty,Angry,Disgusted,Happy,Sad,Anxious,Calm,Surprised,Upset,SEC_abortion,SEC_limited_govt,SEC_security,SEC_religion,SEC_welfare,SEC_gun,SEC_trad_marriage,SEC_trad_values,SEC_fiscal_resp,SEC_business,SEC_family_unit,SEC_patriotism,B5_1,B5_2,B5_3,B5_4,B5_5,B5_6,B5_7,B5_8,B5_9,B5_10,NFC_1,NFC_2,NFC_3,NFC_4,NFC_5,NFC_6,NFC_7,NFC_8,NFC_9,NFC_10,NFC_11,NFC_12,NFC_13,NFC_14,NFC_15,NFC_16,NFC_17,NFC_18,NFC_19,ER_1,ER_2,ER_3,ER_4,ER_5,ER_6,ER_7,ER_8,ER_9,ER_10,ER_11,Gender,Age,Ethnicity,Ethnicity_other,Political_orientation,Political_affiliation,Political_affiliation_other
321,R_2XaeRgt8sfgg7KJ,Liberal,Simple,Neutral,V2,S3,7,6,7,7,7,7,7,4,7,7,4,1,1,1,1,1,3,1,1,5,1,1,50,50,40,0,100,60,0,0,50,30,50,0,2,1,7,3,5,6,6,2,6,1,4,4,1,1,1,4,1,1,1,4,4,1,4,3,4,4,3,1,4,6,4,7,2,5,6,6,6,5,6,6,Male,32,Hispanic or Latinx,,Moderately liberal,Democratic Party,
355,R_0pomvnFOZcAJaeZ,Conservative,Simple,Neutral,V2,S6,7,6,7,5,6,6,6,5,6,7,4,1,1,1,1,1,1,3,2,1,1,2,30,20,50,70,30,20,40,30,50,50,60,30,5,6,6,3,5,4,6,1,5,2,3,4,2,3,2,3,4,3,4,4,4,2,4,3,4,4,3,2,4,6,4,5,6,5,4,5,6,5,3,5,Male,29,Caucasian or White,,Moderately conservative,Democratic Party,
249,R_b4a6uRetG0NVTtT,Liberal,Simple,Neutral,V1,S2,7,6,5,5,6,6,5,2,6,6,2,1,1,1,1,1,1,1,1,3,1,1,50,40,30,70,100,40,100,50,100,60,100,40,1,5,7,5,6,7,5,1,3,6,1,1,4,5,4,2,4,5,5,2,1,4,1,3,1,1,5,2,4,5,7,5,2,5,6,5,6,5,6,5,Female,35,Caucasian or White,,Moderate,No party,
348,R_1OTQKQaPHEj3dHM,Conservative,Simple,Anger,V3,S7,7,7,1,1,4,1,1,1,1,1,5,1,1,1,1,1,5,1,1,5,1,1,50,50,100,80,100,50,50,20,100,100,100,100,7,1,7,1,7,1,7,1,7,1,5,5,1,1,1,5,1,1,1,5,5,1,5,3,5,5,1,1,5,7,4,7,1,7,4,7,6,7,4,7,Male,36,Caucasian or White,,Extremely liberal,Democratic Party,
368,R_1mIwQyZ1BQpy77c,Liberal,Simple,Neutral,V2,S1,7,7,7,7,7,7,7,7,7,7,5,1,1,1,1,1,5,1,1,5,1,1,100,0,0,20,100,0,0,0,40,40,40,20,6,1,7,1,7,1,7,1,7,1,5,5,1,1,1,5,1,3,1,5,5,1,5,3,5,1,2,1,5,6,1,6,1,7,1,6,6,7,1,6,Female,34,Asian American or Asian,,Moderately liberal,Democratic Party,
327,R_27fApgqJvfSG5GY,Liberal,Simple,Neutral,V1,S2,6,5,5,5,5,5,5,4,4,5,3,1,1,1,1,1,2,1,2,3,2,1,0,50,80,40,60,80,90,80,80,80,100,90,5,3,6,5,5,6,6,3,5,5,4,4,2,2,2,3,2,2,2,4,4,2,3,3,4,4,2,2,4,6,5,6,3,4,4,6,6,5,5,6,Male,35,Caucasian or White,,Moderately conservative,Republican Party,
347,R_aawfMwER3UMnNtf,Liberal,Simple,Neutral,V2,S1,7,7,5,5,6,5,5,4,5,5,4,1,1,1,1,2,4,1,1,5,1,1,80,10,60,90,70,10,90,90,80,90,90,70,4,1,6,3,5,6,6,1,6,3,3,4,2,2,4,4,2,3,3,4,4,2,4,3,4,3,2,1,4,5,4,5,3,5,2,5,6,5,2,5,Female,32,African American or Black,,Moderately liberal,Democratic Party,
360,R_3kqceXNLRnwI5cu,Conservative,Complex,Neutral,V2,S8,7,6,3,2,4,3,4,1,3,3,4,1,1,1,1,1,2,1,1,4,1,1,40,90,60,50,30,90,50,40,100,70,100,60,3,5,7,4,5,5,5,2,6,2,1,4,1,1,1,4,1,2,2,4,5,1,4,3,5,4,2,1,4,5,4,5,1,5,2,5,6,5,2,5,Male,35,Caucasian or White,,Moderate,No party,
268,R_5hc48RJW0LcGkuZ,Liberal,Simple,Neutral,V2,S3,7,1,4,4,4,4,5,2,3,4,5,1,1,1,1,1,5,1,1,5,1,1,0,100,100,100,0,100,100,100,100,100,100,100,7,1,7,1,7,7,7,1,7,1,5,1,5,5,5,1,5,5,5,1,1,5,1,3,1,1,5,5,1,7,1,7,1,7,1,7,6,7,1,7,Female,43,Caucasian or White,,Extremely conservative,Republican Party,
355,R_8w8c2SmHMGNxPu9,Liberal,Simple,Anger,V3,S1,7,7,7,7,7,7,7,7,7,7,1,4,2,1,2,3,1,3,3,1,3,3,100,0,0,0,100,0,0,0,0,0,0,0,1,1,7,5,7,7,7,1,4,1,4,4,1,1,1,4,1,1,1,5,4,1,3,3,5,5,1,1,4,2,6,2,4,2,7,2,6,2,6,2,Male,37,Caucasian or White,,Extremely liberal,Democratic Party,
371,R_1ikuNtqiJaYNquh,Liberal,Complex,Anger,V3,S4,6,6,4,4,4,5,4,4,4,4,3,1,1,1,1,2,1,1,1,1,1,1,40,70,100,90,50,50,100,80,100,100,100,100,4,3,7,3,3,3,3,3,7,4,2,2,4,4,2,2,2,4,2,2,2,2,1,3,2,1,2,4,4,5,4,4,5,5,5,5,6,6,4,6,Male,41,Caucasian or White,,Extremely conservative,Republican Party,
384,R_1EhWuB3zOhkiN18,Conservative,Simple,Anger,V4,S5,7,7,7,7,7,7,7,7,7,7,5,1,1,1,1,1,5,1,1,5,3,1,50,90,50,30,50,50,40,30,80,40,50,60,7,5,7,1,7,1,7,1,7,4,5,5,3,5,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,7,7,7,7,7,7,7,6,7,4,4,Male,21,Hispanic or Latinx,,Extremely liberal,Democratic Party,
371,R_26lS4Fu62WqAyc7,Conservative,Complex,Anger,V3,S8,7,7,1,1,2,4,1,1,1,1,2,1,1,2,2,2,3,2,1,3,2,1,100,30,0,10,100,80,0,0,50,0,10,0,1,5,4,7,3,7,6,2,1,3,2,3,2,2,3,4,2,3,4,4,4,2,3,3,4,4,2,2,4,3,6,3,2,4,2,3,6,3,6,3,Female,26,Caucasian or White,,Extremely liberal,No party,
372,R_3ISPPScdrnpPEok,Liberal,Complex,Fear,V5,S4,4,4,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,70,0,30,60,0,0,50,10,0,0,1,4,7,4,5,6,1,1,4,1,4,3,1,1,2,4,1,3,5,5,4,1,3,3,5,3,1,1,5,4,7,4,4,5,6,4,6,4,7,4,Female,30,Asian American or Asian,,Moderate,No party,
404,R_1H5euIXP60kjUwo,Conservative,Simple,Neutral,V2,S6,7,6,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,3,100,0,20,0,100,0,0,0,0,0,10,0,1,5,2,7,7,7,7,6,1,1,2,1,4,3,5,1,3,4,4,1,1,4,2,3,5,1,5,2,3,5,2,5,1,3,2,5,6,5,1,5,Female,45,Native American,,Extremely liberal,Democratic Party,
408,R_1pXODb0G57Iq3Ea,Conservative,Simple,Anger,V3,S6,6,6,1,1,1,1,1,1,1,2,1,4,4,1,5,5,1,2,4,1,5,4,50,60,0,0,50,50,0,0,60,50,50,0,3,2,5,3,6,6,6,1,4,3,4,4,2,1,1,1,1,2,1,3,4,3,4,3,4,4,4,3,3,5,5,6,1,5,2,6,6,5,4,4,Female,27,Caucasian or White,,Extremely liberal,Democratic Party,
424,R_AmupU6NfXY81fNf,Liberal,Simple,Neutral,V2,S1,6,5,3,2,3,2,2,2,2,3,4,1,1,1,1,1,3,1,2,3,1,1,80,70,50,70,30,80,100,90,50,80,90,100,2,1,6,4,5,6,7,1,7,3,5,5,1,2,1,2,2,2,2,2,5,1,4,3,5,4,4,1,4,3,5,5,2,6,2,6,6,6,2,7,Female,26,Caucasian or White,,Moderate,No party,
417,R_1gSDpIBAO3Syqlv,Conservative,Simple,Fear,V6,S5,7,3,3,1,1,1,3,2,5,3,4,1,1,1,1,1,2,1,1,3,1,1,10,100,80,60,10,70,20,60,70,80,60,80,3,3,6,6,5,7,5,2,2,1,2,2,5,4,4,2,4,4,3,2,4,4,4,3,2,4,2,4,4,7,7,2,5,3,3,5,6,5,2,5,Female,38,Caucasian or White,,Extremely conservative,Republican Party,
403,R_9Hy0pHeLifjhptL,Conservative,Complex,Neutral,V2,S8,6,6,2,2,3,4,2,2,2,2,4,1,1,1,1,1,4,1,1,4,1,1,90,80,100,50,70,90,0,0,80,90,50,80,6,1,6,1,6,4,6,1,6,1,4,4,1,1,1,4,2,1,1,4,4,1,4,3,4,4,1,2,4,4,3,4,2,2,2,4,6,2,2,2,Female,54,Caucasian or White,,Moderate,No party,
316,R_1gCJdZmBzcPvTlz,Conservative,Simple,Neutral,V1,S7,7,7,1,1,1,1,1,1,1,1,5,3,1,1,3,5,1,3,3,1,1,3,100,0,50,0,100,50,0,0,100,50,100,100,3,1,5,1,7,5,7,1,7,1,5,5,1,1,1,4,1,1,1,5,3,1,3,3,5,5,1,1,5,5,1,5,1,5,1,5,6,5,1,5,Female,61,Caucasian or White,,Moderately liberal,Democratic Party,
415,R_3R3AQfndoB2xO8r,Conservative,Simple,Anger,V3,S7,7,4,5,5,6,6,7,6,6,6,2,3,3,1,1,2,4,2,4,3,2,2,80,10,90,60,100,60,10,40,30,60,70,90,6,2,2,7,5,5,6,1,2,2,4,4,2,2,2,4,3,3,3,4,3,2,4,3,4,3,4,3,3,6,3,3,3,4,2,3,6,4,2,5,Female,20,Caucasian or White,,Extremely liberal,Democratic Party,
395,R_2WMwlNlKXxNWePE,Conservative,Simple,Neutral,V1,S6,6,4,3,3,4,3,3,2,4,5,3,1,1,2,2,1,3,2,2,3,2,1,40,70,50,50,30,70,60,60,70,60,70,50,3,5,5,6,6,6,3,3,2,3,3,4,2,2,1,4,2,4,2,4,4,2,3,3,4,3,2,1,5,6,6,6,2,5,5,5,6,5,3,4,Male,29,Caucasian or White,,Moderately conservative,Republican Party,
423,R_1HnJUboeZ7C4tmO,Conservative,Simple,Anger,V3,S6,6,6,6,6,5,7,5,5,6,6,3,1,1,2,2,1,1,1,1,3,1,3,40,80,70,60,30,90,90,100,70,80,80,100,5,6,6,2,5,5,6,2,6,5,2,3,4,4,2,3,4,4,4,5,4,2,2,3,3,4,4,3,4,6,7,5,2,5,6,6,6,5,6,5,Male,27,Caucasian or White,,Moderately conservative,Republican Party,
399,R_1hKDbG9zduGWpez,Conservative,Simple,Anger,V4,S5,6,6,1,1,1,1,1,1,1,1,4,2,1,1,3,3,1,1,2,4,1,2,100,0,10,0,70,0,50,0,0,20,70,0,1,2,6,3,2,7,3,3,6,7,4,4,2,2,2,4,2,3,2,4,4,2,5,3,4,4,2,2,4,2,6,2,5,2,6,2,6,2,7,2,Male,38,Caucasian or White,,Extremely liberal,Democratic Party,
458,R_10H7DYX7gwdlUTz,Liberal,Simple,Anger,V3,S3,7,6,4,4,3,4,4,2,5,4,4,2,1,1,1,1,3,1,1,3,1,1,90,20,80,50,60,10,100,90,80,80,100,90,2,2,6,3,2,6,6,2,5,4,1,1,4,5,5,1,3,5,5,1,2,3,2,3,1,1,5,4,4,5,4,5,2,4,3,4,6,5,3,5,Male,45,Caucasian or White,,Moderately liberal,Democratic Party,
432,R_5oNmwD6X4vDwKU9,Conservative,Complex,Anger,V3,S8,7,6,1,1,1,1,1,1,1,1,4,2,2,2,4,4,1,4,3,2,2,4,50,50,30,60,60,10,10,10,30,20,30,10,4,3,5,4,5,5,5,2,3,1,2,3,2,2,2,3,2,2,2,3,3,2,3,3,4,3,4,1,3,3,3,4,4,5,5,5,6,3,5,4,Male,35,Caucasian or White,,Extremely liberal,Democratic Party,
466,R_3lADybUIqDlNBrA,Liberal,Simple,Anger,V3,S3,6,6,5,6,4,4,5,4,7,7,3,2,2,1,1,1,3,2,2,2,1,1,80,40,40,50,70,0,40,40,70,30,80,30,6,5,6,3,6,2,7,4,5,2,3,4,3,3,3,2,4,3,4,4,4,1,3,3,4,4,5,3,5,6,3,5,1,7,5,7,6,6,5,6,Female,31,Other:,mixed race,Moderately liberal,Democratic Party,
477,R_0kSFW0vFDK1m1XP,Conservative,Simple,Neutral,V2,S6,6,4,2,1,6,3,2,1,4,1,3,1,1,1,1,2,4,2,4,2,3,1,30,60,50,90,20,10,100,90,70,40,90,50,1,1,5,6,2,7,5,3,6,7,2,1,4,3,5,1,4,4,5,2,3,4,3,3,1,2,5,4,1,3,7,4,2,3,6,2,6,3,7,5,Male,26,Caucasian or White,,Moderately conservative,Republican Party,
462,R_1JIqSg9pFt6adLe,Liberal,Simple,Anger,V3,S2,6,6,5,5,5,6,4,4,6,5,4,1,1,1,1,1,4,1,1,5,2,1,0,100,100,50,10,90,100,100,100,90,100,100,3,2,6,2,4,6,6,2,6,4,4,4,2,2,2,4,2,2,2,4,4,2,3,3,4,4,2,2,4,6,6,6,4,6,6,6,6,5,6,6,Male,40,Hispanic or Latinx,,Extremely conservative,Republican Party,
452,R_3dRGh6pN54RvRgJ,Liberal,Simple,Anger,V3,S2,7,7,7,7,7,7,7,4,7,7,1,1,1,1,1,1,1,1,1,1,1,1,100,40,0,0,100,0,0,0,0,40,0,0,1,1,7,5,7,7,7,1,4,1,2,1,3,5,5,3,5,5,5,3,2,2,3,3,4,2,5,4,5,4,7,4,7,7,7,4,6,4,7,4,Female,25,Caucasian or White,,Extremely liberal,No party,
476,R_2tMddkDfnZG5Gwy,Liberal,Simple,Fear,V5,S3,7,7,6,6,4,4,5,1,6,5,3,2,1,1,1,1,2,1,3,1,1,2,80,50,40,20,50,50,0,0,50,20,40,40,2,6,4,4,6,4,4,2,4,1,4,4,4,4,2,3,2,3,2,4,4,2,4,3,4,2,3,1,3,3,3,3,3,5,2,4,6,5,2,4,Male,36,Hispanic or Latinx,,Moderately liberal,Democratic Party,
490,R_bpEgM6YPH7goupX,Conservative,Complex,Anger,V3,S8,6,4,5,5,5,5,5,4,5,5,4,1,1,1,1,1,2,1,1,2,1,1,10,100,70,60,10,100,100,100,100,100,100,100,3,3,6,4,4,5,6,3,5,1,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,4,2,4,3,5,3,4,3,4,3,6,3,5,3,Female,61,Caucasian or White,,Moderate,Other:,independent
481,R_3Dda0brRLruFfsd,Liberal,Simple,Fear,V6,S2,5,6,6,6,5,6,6,4,5,6,4,1,1,1,1,1,3,1,1,3,1,1,50,90,50,40,40,90,50,50,90,70,60,50,3,3,5,2,4,5,5,3,6,4,2,4,2,2,2,4,2,2,2,4,4,2,3,3,4,4,2,2,3,4,5,4,3,6,6,4,6,4,4,4,Male,29,Caucasian or White,,Moderately conservative,Republican Party,
489,R_1FmGwNZ96SfJhHb,Conservative,Simple,Anger,V3,S7,7,6,2,2,2,2,2,2,2,2,4,1,1,1,1,1,3,1,1,4,1,1,100,10,20,0,90,10,20,20,60,50,20,30,1,5,7,4,5,6,2,1,6,5,5,4,1,1,1,3,2,2,1,4,4,1,4,3,4,4,2,2,3,2,7,2,4,5,6,6,6,5,6,4,Female,36,Caucasian or White,,Extremely liberal,Democratic Party,
456,R_2CxJ26Z3dAMxUqB,Conservative,Complex,Fear,V6,S8,7,7,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,50,50,20,10,60,0,0,0,50,10,10,0,2,6,7,2,6,6,7,1,7,1,4,4,1,1,1,4,1,3,1,4,4,1,4,3,4,4,3,1,4,7,6,7,4,7,5,7,6,7,7,7,Female,30,Caucasian or White,,Moderately liberal,Democratic Party,
272,R_2sSE6O5gMcuuZes,Liberal,Simple,Neutral,V1,S3,7,7,7,7,7,7,7,4,7,7,5,1,1,1,1,1,5,1,1,5,1,1,50,50,40,40,60,0,100,100,60,50,100,90,4,1,6,4,5,4,6,1,6,2,3,3,3,3,2,3,3,3,3,3,2,4,3,3,2,3,3,3,2,5,5,5,2,4,5,5,6,5,4,5,Male,45,Caucasian or White,,Moderately liberal,Democratic Party,
343,R_2dMbORURjKpZhmA,Conservative,Simple,Neutral,V2,S5,7,4,1,1,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,1,90,20,50,0,90,70,0,0,50,30,0,0,1,5,4,4,4,6,4,4,6,1,3,1,1,3,1,3,3,3,3,3,3,3,1,3,4,3,4,1,3,1,6,1,4,1,4,1,6,1,4,1,Male,31,Other:,Mixed,Extremely liberal,No party,
522,R_1Nt7MSXbDMuAG2r,Liberal,Simple,Fear,V5,S3,7,6,7,6,6,5,6,5,7,7,4,2,2,1,1,2,1,2,3,1,1,2,10,50,50,100,90,10,90,80,50,30,100,50,2,1,7,7,6,7,7,1,2,2,2,4,1,2,1,4,1,2,2,4,5,1,4,3,4,4,2,1,5,2,6,2,5,2,5,2,6,2,5,2,Female,38,Caucasian or White,,Moderately liberal,Democratic Party,
426,R_ZduFOwlG4s4OiRj,Liberal,Simple,Neutral,V2,S3,6,6,6,6,6,6,5,4,5,6,4,1,1,1,1,1,3,1,1,5,1,1,100,50,50,0,70,0,100,100,100,50,90,70,7,1,7,1,7,1,7,1,7,1,5,5,1,1,1,4,1,2,1,5,5,1,5,3,5,5,1,1,3,6,2,6,2,6,4,6,6,6,3,6,Male,42,Caucasian or White,,Moderately liberal,Democratic Party,
524,R_1NxBDVivtFkoMNT,Liberal,Simple,Anger,V4,S2,6,5,7,7,4,5,3,6,6,5,2,1,1,1,2,1,4,1,1,3,4,1,50,20,20,10,50,80,20,20,50,30,20,50,3,2,5,4,2,7,6,1,1,2,1,3,5,4,2,3,2,2,5,3,2,4,1,3,2,4,2,2,4,6,7,5,5,3,2,3,6,7,4,4,Male,27,Caucasian or White,,Moderately liberal,Democratic Party,
540,R_3kvN31Ick4VtAjv,Conservative,Simple,Fear,V6,S7,7,4,1,1,1,5,1,1,1,1,5,1,1,1,1,1,2,1,1,3,1,1,100,50,30,0,50,60,20,20,80,0,50,50,1,5,7,5,7,7,1,1,5,7,4,4,2,1,1,3,2,3,1,4,2,2,4,3,4,4,3,1,2,5,7,5,7,5,7,5,6,5,7,5,Male,38,Caucasian or White,,Extremely liberal,Democratic Party,
533,R_1mCYdaU2ngZvJiz,Liberal,Complex,Anger,V3,S4,7,7,6,5,5,4,6,5,7,7,3,2,2,1,1,3,2,3,4,1,3,3,100,60,10,70,100,10,50,50,40,60,40,10,2,5,3,7,7,6,7,6,5,2,4,2,1,2,2,3,2,4,2,4,4,2,2,3,4,3,2,2,5,5,7,5,5,3,6,5,6,5,4,6,Male,21,Caucasian or White,,Moderately liberal,No party,
324,R_3iwKU7H8yo80wEf,Liberal,Simple,Neutral,V1,S2,7,7,7,7,7,7,7,7,7,7,3,1,1,1,1,1,3,1,1,5,1,1,0,0,0,100,100,50,100,100,100,50,100,0,7,1,6,1,7,1,7,7,7,1,5,5,1,1,1,5,1,4,2,1,5,1,1,3,2,3,1,2,4,7,2,6,1,6,2,7,6,6,2,7,Female,54,African American or Black,,Moderately liberal,Democratic Party,
362,R_1LbaM3dBl13MDps,Conservative,Simple,Anger,V3,S6,5,4,5,4,5,4,5,4,5,4,3,4,3,3,4,3,3,4,3,3,3,4,50,50,50,60,50,60,50,60,50,50,60,60,5,4,3,4,3,4,5,4,4,5,3,2,3,2,3,2,3,2,3,2,3,3,2,3,3,2,3,2,3,4,3,4,5,4,3,4,6,5,5,4,Male,51,Caucasian or White,,Extremely conservative,Republican Party,
445,R_339nlhiC2DoJ4HS,Conservative,Complex,Neutral,V1,S8,7,6,3,3,3,1,2,1,3,3,4,2,1,2,1,2,1,2,2,4,1,1,40,60,70,30,40,30,70,70,80,40,90,70,1,2,6,3,3,7,6,2,6,5,4,4,1,2,1,4,2,2,2,5,4,2,4,3,4,5,2,2,5,5,3,6,2,6,3,5,6,6,3,6,Female,45,Caucasian or White,,Moderate,No party,
566,R_2zdyj1STE37Azvb,Liberal,Simple,Fear,V5,S2,7,7,7,7,7,7,7,7,7,7,4,2,2,1,3,3,2,2,1,3,1,4,100,0,0,20,100,20,50,30,30,0,40,30,6,2,6,3,7,3,7,2,6,2,2,2,2,4,2,2,2,2,4,2,2,2,2,3,4,2,4,2,4,5,3,5,2,3,2,5,6,5,2,3,Female,59,Caucasian or White,,Extremely liberal,Green Party,
555,R_2Cm2Ql9vzvAmYcc,Liberal,Simple,Neutral,V1,S2,7,5,5,4,4,5,4,2,4,5,2,1,1,1,1,1,4,1,1,3,1,1,0,100,70,70,10,50,100,100,100,90,100,90,1,6,6,5,5,7,6,5,5,5,4,4,1,1,1,2,1,2,1,5,4,2,4,3,4,5,2,1,4,6,7,6,2,5,5,5,6,5,3,5,Male,49,Caucasian or White,,Moderate,No party,
516,R_W84fo38end7BD9L,Liberal,Complex,Anger,V3,S4,6,6,6,6,3,3,5,5,5,6,3,1,1,1,1,1,1,1,1,2,2,1,20,100,50,50,40,100,100,100,100,50,100,50,1,1,6,2,3,7,5,2,6,6,3,3,4,3,4,3,4,4,3,4,4,2,3,3,4,3,4,2,2,5,6,5,5,5,6,5,6,5,6,5,Male,53,Caucasian or White,,Moderate,Republican Party,
418,R_3MbxLIpSwhTxSuK,Liberal,Simple,Anger,V3,S1,6,4,1,1,1,1,1,1,3,2,4,4,3,4,5,5,1,4,5,1,5,5,80,20,20,0,60,0,0,0,60,0,30,0,1,1,6,7,2,6,4,1,1,1,1,1,4,4,4,1,4,4,4,1,1,4,1,3,1,1,4,4,1,5,2,5,1,3,1,5,6,4,2,4,Female,61,Caucasian or White,,Moderately liberal,Democratic Party,
370,R_2Ei8hCj9dczhPvh,Conservative,Simple,Neutral,V1,S5,6,6,6,6,6,7,5,5,7,7,2,1,1,1,1,1,1,1,1,1,1,1,0,40,80,100,70,60,100,100,70,70,100,70,6,5,7,5,6,3,3,1,5,1,2,1,4,4,2,1,4,2,4,2,2,2,1,3,1,2,5,2,1,6,2,6,2,5,1,6,6,6,1,6,Female,42,Caucasian or White,,Moderately conservative,Republican Party,
